"Location","lon","lat","geoAddress"
" 2501 Memorial Pkwy SW Huntsville, AL 35801 United States ","-86.5898733","34.71227","2501 memorial pkwy sw, huntsville, al 35801, usa"
" 3968 Airport Blvd Mobile, AL 36608 United States ","-88.1509437","30.677167","3968 airport blvd, mobile, al 36608, usa"
" 3780 Riverchase Village Hoover, AL 35244 United States ","-86.8010497","33.377512","3780 riverchase village, birmingham, al 35244, usa"
" 1450 Taylor Rd Montgomery, AL 36117 United States ","-86.1727917","32.3586036","1450 taylor rd, montgomery, al 36117, usa"
" 3100 Cahaba Village Plaza Birmingham, AL 35243 United States ","-86.7525584","33.4599949","3100 cahaba village plaza, birmingham, al 35243, usa"
" 1420 West Hwy. 89A Sedona, AZ 86336 United States ","-111.7849323","34.8635944","1420 w state rte 89a, sedona, az 86336, usa"
" 3360 E. Speedway Blvd. Tucson, AZ 85716 United States ","-110.9215464","32.235741","3360 e speedway blvd, tucson, az 85716, usa"
" 10810 N Tatum Blvd Phoenix, AZ 85028 United States ","-111.9786036","33.5839155","10810 n tatum blvd, phoenix, az 85028, usa"
" 5555 E. River Road Tucson, AZ 85750-1949 United States ","-110.8743844","32.2749924","5555 e river rd, tucson, az 85750, usa"
" 7111 East Mayo Boulevard Phoenix, AZ 85054 United States ","-111.9270975","33.6537196","7111 e mayo blvd, phoenix, az 85054, usa"
" 2955 West Ray Road Chandler, AZ 85225 United States ","-111.8927755","33.3183793","2955 w ray rd, chandler, az 85224, usa"
" 7133 N Oracle Rd Tucson, AZ 85704 United States ","-110.9781399","32.3364568","7133 n oracle rd, tucson, az 85704, usa"
" Whole Foods Market 4701 N 20th Street Phoenix, AZ 85016 United States ","-112.0376743","33.5064238","4701 n 20th st, phoenix, az 85016, usa"
" 320 S. Cambridge Lane Flagstaff, AZ 86001 United States ","-111.6411993","35.1915936","320 cambridge ln, flagstaff, az 86001, usa"
" 5120 S. Rural Rd Tempe, AZ 85282 United States ","-111.9299853","33.3796448","5120 s rural rd, tempe, az 85282, usa"
" 3425 N. College Avenue Fayetteville, AR 72703 United States ","-94.1464182","36.1137251","3425 n college ave, fayetteville, ar 72703, usa"
" 501 Bowman Road Little Rock, AR 72211 United States ","-92.4070771","34.7493978","501 bowman rd, little rock, ar 72211, usa"
" 415 Newport Center Drive Newport Beach, CA 92660 United States ","-117.8737656","33.61659","415 newport center dr, newport beach, ca 92660, usa"
" 8825 Villa La Jolla Dr La Jolla, CA 92037-9994 United States ","-117.2306258","32.8687404","8825 villa la jolla dr, la jolla, ca 92037, usa"
" 7881 Edinger Ave Suite 150 Huntington Beach, CA 92647 United States ","-117.9905196","33.7312057","7881 edinger ave #150, huntington beach, ca 92647, usa"
" 2201 Wilshire Blvd Santa Monica, CA 90403 United States ","-118.4813867","34.0333002","2201 wilshire blvd, santa monica, ca 90403, usa"
" Whole Foods Market Coddingtown 390 Coddingtown Mall Santa Rosa, CA 95401 United States ","-122.7313879","38.4578846","390 coddingtown mall, santa rosa, ca 95401, usa"
